Zambia	1952	2672000	Africa	42.038	1147.388831
Zambia	1957	3016000	Africa	44.077	1311.956766
Zambia	1962	3421000	Africa	46.023	1452.725766
Zambia	1967	3900000	Africa	47.768	1777.077318
Zambia	1972	4506497	Africa	50.107	1773.498265
Zambia	1977	5216550	Africa	51.386	1588.688299
Zambia	1982	6100407	Africa	51.821	1408.678565
Zambia	1987	7272406	Africa	50.821	1213.315116
Zambia	1992	8381163	Africa	46.1	1210.884633
Zambia	1997	9417789	Africa	40.238	1071.353818
Zambia	2002	10595811	Africa	39.193	1071.613938
Zambia	2007	11746035	Africa	42.384	1271.211593
