Belgium	1952	8730405	Europe	68	8343.105127
Belgium	1957	8989111	Europe	69.24	9714.960623
Belgium	1962	9218400	Europe	70.25	10991.20676
Belgium	1967	9556500	Europe	70.94	13149.04119
Belgium	1972	9709100	Europe	71.44	16672.14356
Belgium	1977	9821800	Europe	72.8	19117.97448
Belgium	1982	9856303	Europe	73.93	20979.84589
Belgium	1987	9870200	Europe	75.35	22525.56308
Belgium	1992	10045622	Europe	76.46	25575.57069
Belgium	1997	10199787	Europe	77.53	27561.19663
Belgium	2002	10311970	Europe	78.32	30485.88375
Belgium	2007	10392226	Europe	79.441	33692.60508
