Turkey	1952	22235677	Europe	43.585	1969.10098
Turkey	1957	25670939	Europe	48.079	2218.754257
Turkey	1962	29788695	Europe	52.098	2322.869908
Turkey	1967	33411317	Europe	54.336	2826.356387
Turkey	1972	37492953	Europe	57.005	3450.69638
Turkey	1977	42404033	Europe	59.507	4269.122326
Turkey	1982	47328791	Europe	61.036	4241.356344
Turkey	1987	52881328	Europe	63.108	5089.043686
Turkey	1992	58179144	Europe	66.146	5678.348271
Turkey	1997	63047647	Europe	68.835	6601.429915
Turkey	2002	67308928	Europe	70.845	6508.085718
Turkey	2007	71158647	Europe	71.777	8458.276384
