Bahrain	1952	120447	Asia	50.939	9867.084765
Bahrain	1957	138655	Asia	53.832	11635.79945
Bahrain	1962	171863	Asia	56.923	12753.27514
Bahrain	1967	202182	Asia	59.923	14804.6727
Bahrain	1972	230800	Asia	63.3	18268.65839
Bahrain	1977	297410	Asia	65.593	19340.10196
Bahrain	1982	377967	Asia	69.052	19211.14731
Bahrain	1987	454612	Asia	70.75	18524.02406
Bahrain	1992	529491	Asia	72.601	19035.57917
Bahrain	1997	598561	Asia	73.925	20292.01679
Bahrain	2002	656397	Asia	74.795	23403.55927
Bahrain	2007	708573	Asia	75.635	29796.04834
