Argentina	1952	17876956	Americas	62.485	5911.315053
Argentina	1957	19610538	Americas	64.399	6856.856212
Argentina	1962	21283783	Americas	65.142	7133.166023
Argentina	1967	22934225	Americas	65.634	8052.953021
Argentina	1972	24779799	Americas	67.065	9443.038526
Argentina	1977	26983828	Americas	68.481	10079.02674
Argentina	1982	29341374	Americas	69.942	8997.897412
Argentina	1987	31620918	Americas	70.774	9139.671389
Argentina	1992	33958947	Americas	71.868	9308.41871
Argentina	1997	36203463	Americas	73.275	10967.28195
Argentina	2002	38331121	Americas	74.34	8797.640716
Argentina	2007	40301927	Americas	75.32	12779.37964
