Albania	1952	1282697	Europe	55.23	1601.056136
Albania	1957	1476505	Europe	59.28	1942.284244
Albania	1962	1728137	Europe	64.82	2312.888958
Albania	1967	1984060	Europe	66.22	2760.196931
Albania	1972	2263554	Europe	67.69	3313.422188
Albania	1977	2509048	Europe	68.93	3533.00391
Albania	1982	2780097	Europe	70.42	3630.880722
Albania	1987	3075321	Europe	72	3738.932735
Albania	1992	3326498	Europe	71.581	2497.437901
Albania	1997	3428038	Europe	72.95	3193.054604
Albania	2002	3508512	Europe	75.651	4604.211737
Albania	2007	3600523	Europe	76.423	5937.029526
