Sierra Leone	1952	2143249	Africa	30.331	879.7877358
Sierra Leone	1957	2295678	Africa	31.57	1004.484437
Sierra Leone	1962	2467895	Africa	32.767	1116.639877
Sierra Leone	1967	2662190	Africa	34.113	1206.043465
Sierra Leone	1972	2879013	Africa	35.4	1353.759762
Sierra Leone	1977	3140897	Africa	36.788	1348.285159
Sierra Leone	1982	3464522	Africa	38.445	1465.010784
Sierra Leone	1987	3868905	Africa	40.006	1294.447788
Sierra Leone	1992	4260884	Africa	38.333	1068.696278
Sierra Leone	1997	4578212	Africa	39.897	574.6481576
Sierra Leone	2002	5359092	Africa	41.012	699.489713
Sierra Leone	2007	6144562	Africa	42.568	862.5407561
